bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000240,0.000007,0.000234,8556.296151,,,,
MicroBench_LocalMem_fp64_4096,,,65536,256,,4.000000,N/A,N/A,,N/A,0.000488,0.000055,0.000445,8987.390691,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021791,0.000041,0.021737,11777.118402,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021797,0.000011,0.021788,11749.646248,,,,
MicroBench_LocalMem_fp64_4096,,,8388608,256,,512.000000,N/A,N/A,,N/A,0.043456,0.000075,0.043400,11797.230130,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005494,0.000013,0.005484,11669.868891,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005490,0.000007,0.005484,11671.026585,,,,
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,,N/A,0.010973,0.000052,0.010932,11708.759964,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002827,0.000029,0.002812,11381.650574,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002837,0.000045,0.002811,11382.306418,,,,
MicroBench_LocalMem_fp64_4096,,,1048576,256,,64.000000,N/A,N/A,,N/A,0.005866,0.000058,0.005802,11030.283644,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000008,0.000106,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000112,0.000009,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000176,0.000052,0.000135,N/A,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000007,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000007,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000168,0.000046,0.000132,N/A,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000395,0.000011,0.000389,10276.356929,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000392,0.000003,0.000389,10290.394945,,,,
MicroBench_LocalMem_fp64_4096,,,131072,256,,8.000000,N/A,N/A,,N/A,0.000798,0.000052,0.000757,10570.056352,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000007,0.000106,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000113,0.000005,0.000107,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000176,0.000054,0.000134,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043185,0.000006,0.043177,11858.053449,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043212,0.000027,0.043177,11858.049055,,,,
MicroBench_LocalMem_fp64_4096,,,16777216,256,,1024.000000,N/A,N/A,,N/A,0.086223,0.000080,0.086142,11887.390747,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021782,0.000025,0.021738,11776.428191,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021784,0.000024,0.021742,11774.362375,,,,
MicroBench_LocalMem_fp64_4096,,,8388608,256,,512.000000,N/A,N/A,,N/A,0.043432,0.000049,0.043396,11798.427371,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,N/A,N/A,,N/A,0.000794,0.000031,0.000758,10548.050325,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,N/A,N/A,,N/A,0.000781,0.000030,0.000756,10587.514409,,,,
MicroBench_LocalMem_fp64_4096,,,262144,256,,16.000000,N/A,N/A,,N/A,0.001625,0.000058,0.001588,10074.976717,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000133,0.000008,0.000128,7783.191420,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000133,0.000005,0.000129,7779.679477,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,,N/A,0.000275,0.000052,0.000234,8546.862447,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000133,0.000008,0.000127,7859.719722,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000132,0.000005,0.000127,7859.287320,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,,N/A,0.000276,0.000056,0.000233,8599.672352,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010938,0.000006,0.010934,11706.124690,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010942,0.000004,0.010938,11702.550068,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,,N/A,0.021801,0.000047,0.021722,11785.161478,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010943,0.000006,0.010938,11702.042948,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010940,0.000004,0.010936,11703.973234,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,,N/A,0.021804,0.000046,0.021723,11784.651513,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000395,0.000008,0.000390,10265.991849,,,,
